	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00310832	3	1	1	1	1	1	0	48	0	0	36.6069	 	0	0
UL	0.00360832	3	6	1	1	1	1	0	48	0	0	35.4306 	0	0
DL	0.00400832	4	0	1	1	1	1	0	1776	28	0	36.6793	 	0	0
UL	0.00459568	4	5	1	22	1	1	0	39187	28	0	35.5276 	0	2.30926e-14
UL	0.00469568	4	6	1	22	1	1	0	39187	28	0	35.4893 	0	0
UL	0.00479568	4	7	1	22	1	1	0	39187	28	0	35.5775 	0	1.15463e-14
UL	0.00489568	4	8	1	22	1	1	0	39187	28	0	35.7746 	0	0
DL	0.00494992	4	9	1	11	1	1	0	19592	28	0	35.4503	 	0	0
UL	0.00499568	4	9	12	11	1	1	0	19592	28	0	36.1554 	0	0
DL	0.00504992	5	0	1	11	1	1	0	19592	28	0	35.7274	 	0	3.4639e-14
UL	0.00509568	5	0	12	11	1	1	0	19592	28	0	36.3995 	0	0
DL	0.00514992	5	1	1	11	1	1	0	19592	28	0	36.041	 	0	8.17479e-12
UL	0.00519568	5	1	12	11	1	1	0	19592	28	0	36.5748 	0	0
DL	0.00524992	5	2	1	11	1	1	0	19592	28	0	36.3267	 	0	0
UL	0.00529568	5	2	12	11	1	1	0	19592	28	0	36.6512 	0	0
DL	0.00534992	5	3	1	11	1	1	0	19592	28	0	36.5369	 	0	5.43726e-09
UL	0.00539568	5	3	12	11	1	1	0	19592	28	0	36.6143 	0	0
DL	0.00544992	5	4	1	11	1	1	0	19592	28	0	36.6433	 	0	0
UL	0.00549568	5	4	12	11	1	1	0	19592	28	0	36.4653 	0	0
DL	0.00554992	5	5	1	11	1	1	0	19592	28	0	36.6352	 	0	0
UL	0.00559568	5	5	12	11	1	1	0	19592	28	0	36.2215 	0	0
DL	0.00564992	5	6	1	11	1	1	0	19592	28	0	36.5177	 	0	0
UL	0.00569568	5	6	12	11	1	1	0	19592	28	0	35.9187 	0	0
DL	0.00574992	5	7	1	11	1	1	0	19592	28	0	36.3113	 	0	0
UL	0.00579568	5	7	12	11	1	1	0	19592	28	0	35.6121 	0	1.15463e-14
DL	0.00584992	5	8	1	11	1	1	0	19592	28	0	36.0528	 	0	0
UL	0.00589568	5	8	12	11	1	1	0	19592	28	0	35.37 	0	0
DL	0.00594992	5	9	1	11	1	1	0	19592	28	0	35.7935	 	0	0
UL	0.00599568	5	9	12	11	1	1	0	19592	28	0	35.2564 	0	7.33191e-13
DL	0.00604992	6	0	1	11	1	1	0	19592	28	0	35.592	 	0	0
UL	0.00609568	6	0	12	11	1	1	0	19592	28	0	35.3045 	0	5.77316e-15
DL	0.00614992	6	1	1	11	1	1	0	19592	28	0	35.4973	 	0	0
UL	0.00619568	6	1	12	11	1	1	0	19592	28	0	35.4996 	0	5.4845e-14
DL	0.00624992	6	2	1	11	1	1	0	19592	28	0	35.5292	 	0	4.32987e-14
UL	0.00629568	6	2	12	11	1	1	0	19592	28	0	35.7877 	0	0
DL	0.00634992	6	3	1	11	1	1	0	19592	28	0	35.6686	 	0	8.65974e-15
UL	0.00639568	6	3	12	11	1	1	0	19592	28	0	36.1002 	0	0
DL	0.00644992	6	4	1	11	1	1	0	19592	28	0	35.8669	 	0	0
UL	0.00649568	6	4	12	11	1	1	0	19592	28	0	36.3772 	0	0
DL	0.00654992	6	5	1	11	1	1	0	19592	28	0	36.0651	 	0	2.33813e-13
UL	0.00659568	6	5	12	11	1	1	0	19592	28	0	36.5774 	0	2.04947e-13
DL	0.00664992	6	6	1	11	1	1	0	19592	28	0	36.2111	 	0	6.87872e-12
UL	0.00669568	6	6	12	11	1	1	0	19592	28	0	36.6792 	0	0
DL	0.00674992	6	7	1	11	1	1	0	19592	28	0	36.268	 	0	0
UL	0.00679568	6	7	12	11	1	1	0	19592	28	0	36.6791 	0	0
DL	0.00684992	6	8	1	11	1	1	0	19592	28	0	36.2157	 	0	0
UL	0.00689568	6	8	12	11	1	1	0	19592	28	0	36.5898 	0	0
DL	0.00694992	6	9	1	11	1	1	0	19592	28	0	36.051	 	0	2.76944e-10
UL	0.00699568	6	9	12	11	1	1	0	19592	28	0	36.4398 	0	0
DL	0.00704992	7	0	1	11	1	1	0	19592	28	0	35.789	 	0	0
UL	0.00709568	7	0	12	11	1	1	0	19592	28	0	36.271 	0	0
DL	0.00714992	7	1	1	11	1	1	0	19592	28	0	35.4656	 	0	0
UL	0.00719568	7	1	12	11	1	1	0	19592	28	0	36.134 	0	1.46234e-11
DL	0.00724992	7	2	1	11	1	1	0	19592	28	0	35.1387	 	0	0
UL	0.00729568	7	2	12	11	1	1	0	19592	28	0	36.0758 	0	0
DL	0.00734992	7	3	1	11	1	1	0	19592	28	0	34.8829	 	0	0
UL	0.00739568	7	3	12	11	1	1	0	19592	28	0	36.123 	0	0
DL	0.00744992	7	4	1	11	1	1	0	19592	28	0	34.7692	 	0	0
UL	0.00749568	7	4	12	11	1	1	0	19592	28	0	36.2709 	0	0
DL	0.00754992	7	5	1	11	1	1	0	19592	28	0	34.8341	 	0	0
UL	0.00759568	7	5	12	11	1	1	0	19592	28	0	36.4853 	0	0
DL	0.00764992	7	6	1	11	1	1	0	19592	28	0	35.0594	 	0	0
UL	0.00769568	7	6	12	11	1	1	0	19592	28	0	36.7169 	0	1.35842e-11
DL	0.00774992	7	7	1	11	1	1	0	19592	28	0	35.3824	 	0	0
UL	0.00779568	7	7	12	11	1	1	0	19592	28	0	36.9163 	0	0
DL	0.00784992	7	8	1	11	1	1	0	19592	28	0	35.7256	 	0	0
UL	0.00789568	7	8	12	11	1	1	0	19592	28	0	37.0444 	0	0
DL	0.00794992	7	9	1	11	1	1	0	19592	28	0	36.0227	 	0	0
UL	0.00799568	7	9	12	11	1	1	0	19592	28	0	37.0756 	0	0
DL	0.00804992	8	0	1	11	1	1	0	19592	28	0	36.228	 	0	2.04947e-13
UL	0.00809568	8	0	12	11	1	1	0	19592	28	0	36.9988 	0	0
DL	0.00814992	8	1	1	11	1	1	0	19592	28	0	36.3168	 	0	0
UL	0.00819568	8	1	12	11	1	1	0	19592	28	0	36.8168 	0	1.73195e-13
DL	0.00824992	8	2	1	11	1	1	0	19592	28	0	36.2824	 	0	0
UL	0.00829568	8	2	12	11	1	1	0	19592	28	0	36.5479 	0	0
DL	0.00834992	8	3	1	11	1	1	0	19592	28	0	36.1343	 	0	0
UL	0.00839568	8	3	12	11	1	1	0	19592	28	0	36.2275 	0	8.65974e-15
DL	0.00844992	8	4	1	11	1	1	0	19592	28	0	35.8985	 	0	4.52038e-12
UL	0.00849568	8	4	12	11	1	1	0	19592	28	0	35.9087 	0	0
DL	0.00854992	8	5	1	11	1	1	0	19592	28	0	35.619	 	0	0
UL	0.00859568	8	5	12	11	1	1	0	19592	28	0	35.6556 	0	3.96616e-12
DL	0.00864992	8	6	1	11	1	1	0	19592	28	0	35.3556	 	0	0
UL	0.00869568	8	6	12	11	1	1	0	19592	28	0	35.5258 	0	0
DL	0.00874992	8	7	1	11	1	1	0	19592	28	0	35.1733	 	0	0
UL	0.00879568	8	7	12	11	1	1	0	19592	28	0	35.5466 	0	2.88658e-14
DL	0.00884992	8	8	1	11	1	1	0	19592	28	0	35.1215	 	0	0
UL	0.00889568	8	8	12	11	1	1	0	19592	28	0	35.7015 	0	0
DL	0.00894992	8	9	1	11	1	1	0	19592	28	0	35.2121	 	0	2.30926e-14
UL	0.00899568	8	9	12	11	1	1	0	19592	28	0	35.9386 	0	1.90514e-13
DL	0.00904992	9	0	1	11	1	1	0	19592	28	0	35.4132	 	0	6.57805e-10
UL	0.00909568	9	0	12	11	1	1	0	19592	28	0	36.1933 	0	0
DL	0.00914992	9	1	1	11	1	1	0	19592	28	0	35.6652	 	0	0
UL	0.00919568	9	1	12	11	1	1	0	19592	28	0	36.4092 	0	2.88658e-15
DL	0.00924992	9	2	1	11	1	1	0	19592	28	0	35.9043	 	0	0
UL	0.00929568	9	2	12	11	1	1	0	19592	28	0	36.5475 	0	0
DL	0.00934992	9	3	1	11	1	1	0	19592	28	0	36.0793	 	0	0
UL	0.00939568	9	3	12	11	1	1	0	19592	28	0	36.5881 	0	0
DL	0.00944992	9	4	1	11	1	1	0	19592	28	0	36.1573	 	0	0
UL	0.00949568	9	4	12	11	1	1	0	19592	28	0	36.5287 	0	2.91545e-13
DL	0.00954992	9	5	1	11	1	1	0	19592	28	0	36.1239	 	0	0
UL	0.00959568	9	5	12	11	1	1	0	19592	28	0	36.3836 	0	1.73195e-14
DL	0.00964992	9	6	1	11	1	1	0	19592	28	0	35.9827	 	0	0
UL	0.00969568	9	6	12	11	1	1	0	19592	28	0	36.1841 	0	0
DL	0.00974992	9	7	1	11	1	1	0	19592	28	0	35.7562	 	0	0
UL	0.00979568	9	7	12	11	1	1	0	19592	28	0	35.977 	0	8.37108e-14
DL	0.00984992	9	8	1	11	1	1	0	19592	28	0	35.4875	 	0	0
UL	0.00989568	9	8	12	11	1	1	0	19592	28	0	35.8171 	0	0
DL	0.00994992	9	9	1	11	1	1	0	19592	28	0	35.239	 	0	4.00946e-12
UL	0.00999568	9	9	12	11	1	1	0	19592	28	0	35.7534 	0	0
DL	0.0100499	10	0	1	11	1	1	0	19592	28	0	35.0821	 	0	0
UL	0.0100957	10	0	12	11	1	1	0	19592	28	0	35.81 	0	0
DL	0.0101499	10	1	1	11	1	1	0	19592	28	0	35.0736	 	0	0
UL	0.0101957	10	1	12	11	1	1	0	19592	28	0	35.9748 	0	0
DL	0.0102499	10	2	1	11	1	1	0	19592	28	0	35.2296	 	0	3.00204e-13
UL	0.0102957	10	2	12	11	1	1	0	19592	28	0	36.2051 	0	0
DL	0.0103499	10	3	1	11	1	1	0	19592	28	0	35.5164	 	0	2.89235e-12
UL	0.0103957	10	3	12	11	1	1	0	19592	28	0	36.4451 	0	0
DL	0.0104499	10	4	1	11	1	1	0	19592	28	0	35.8686	 	0	0
UL	0.0104957	10	4	12	11	1	1	0	19592	28	0	36.6423 	0	0
DL	0.0105499	10	5	1	11	1	1	0	19592	28	0	36.2165	 	0	0
UL	0.0105957	10	5	12	11	1	1	0	19592	28	0	36.7573 	0	0
DL	0.0106499	10	6	1	11	1	1	0	19592	28	0	36.5046	 	0	8.19789e-13
UL	0.0106957	10	6	12	11	1	1	0	19592	28	0	36.7659 	0	0
DL	0.0107499	10	7	1	11	1	1	0	19592	28	0	36.6968	 	0	0
UL	0.0107957	10	7	12	11	1	1	0	19592	28	0	36.6585 	0	0
DL	0.0108499	10	8	1	11	1	1	0	19592	28	0	36.7753	 	0	0
UL	0.0108957	10	8	12	11	1	1	0	19592	28	0	36.4403 	0	1.82059e-07
DL	0.0109499	10	9	1	11	1	1	0	19592	28	0	36.739	 	0	0
UL	0.0109957	10	9	12	11	1	1	0	19592	28	0	36.1335 	0	0
DL	0.0110499	11	0	1	11	1	1	0	19592	28	0	36.6009	 	0	0
UL	0.0110957	11	0	12	11	1	1	0	19592	28	0	35.7793 	0	0
DL	0.0111499	11	1	1	11	1	1	0	19592	28	0	36.3893	 	0	0
UL	0.0111957	11	1	12	11	1	1	0	19592	28	0	35.4377 	0	0
DL	0.0112499	11	2	1	11	1	1	0	19592	28	0	36.1472	 	0	1.01665e-11
UL	0.0112957	11	2	12	11	1	1	0	19592	28	0	35.1797 	0	0
DL	0.0113499	11	3	1	11	1	1	0	19592	28	0	35.9294	 	0	0
UL	0.0113957	11	3	12	11	1	1	0	19592	28	0	35.0652 	0	0
DL	0.0114499	11	4	1	11	1	1	0	19592	28	0	35.7899	 	0	0
UL	0.0114957	11	4	12	11	1	1	0	19592	28	0	35.1159 	0	0
DL	0.0115499	11	5	1	11	1	1	0	19592	28	0	35.7652	 	0	6.06182e-14
UL	0.0115957	11	5	12	11	1	1	0	19592	28	0	35.3035 	0	8.65974e-15
DL	0.0116499	11	6	1	11	1	1	0	19592	28	0	35.8578	 	0	0
UL	0.0116957	11	6	12	11	1	1	0	19592	28	0	35.5646 	0	0
DL	0.0117499	11	7	1	11	1	1	0	19592	28	0	36.0358	 	0	0
UL	0.0117957	11	7	12	11	1	1	0	19592	28	0	35.8287 	0	3.75255e-14
DL	0.0118499	11	8	1	11	1	1	0	19592	28	0	36.2469	 	0	0
UL	0.0118957	11	8	12	11	1	1	0	19592	28	0	36.0375 	0	1.56857e-11
DL	0.0119499	11	9	1	11	1	1	0	19592	28	0	36.4372	 	0	2.02061e-14
UL	0.0119957	11	9	12	11	1	1	0	19592	28	0	36.1534 	0	0
DL	0.0120499	12	0	1	11	1	1	0	19592	28	0	36.5636	 	0	0
UL	0.0120957	12	0	12	11	1	1	0	19592	28	0	36.1588 	0	0
DL	0.0121499	12	1	1	11	1	1	0	19592	28	0	36.599	 	0	0
UL	0.0121957	12	1	12	11	1	1	0	19592	28	0	36.0548 	0	0
DL	0.0122499	12	2	1	11	1	1	0	19592	28	0	36.5334	 	0	0
UL	0.0122957	12	2	12	11	1	1	0	19592	28	0	35.8604 	0	2.88658e-15
DL	0.0123499	12	3	1	11	1	1	0	19592	28	0	36.3735	 	0	0
UL	0.0123957	12	3	12	11	1	1	0	19592	28	0	35.6133 	0	0
DL	0.0124499	12	4	1	11	1	1	0	19592	28	0	36.1441	 	0	0
UL	0.0124957	12	4	12	11	1	1	0	19592	28	0	35.3689 	0	2.72899e-09
DL	0.0125499	12	5	1	11	1	1	0	19592	28	0	35.8887	 	0	4.04121e-14
UL	0.0125957	12	5	12	11	1	1	0	19592	28	0	35.1918 	0	0
DL	0.0126499	12	6	1	11	1	1	0	19592	28	0	35.6674	 	0	0
UL	0.0126957	12	6	12	11	1	1	0	19592	28	0	35.137 	0	0
DL	0.0127499	12	7	1	11	1	1	0	19592	28	0	35.5437	 	0	1.92824e-12
UL	0.0127957	12	7	12	11	1	1	0	19592	28	0	35.2258 	0	1.14112e-10
DL	0.0128499	12	8	1	11	1	1	0	19592	28	0	35.5623	 	0	0
UL	0.0128957	12	8	12	11	1	1	0	19592	28	0	35.4353 	0	0
DL	0.0129499	12	9	1	11	1	1	0	19592	28	0	35.7286	 	0	4.79955e-10
UL	0.0129957	12	9	12	11	1	1	0	19592	28	0	35.71 	0	0
DL	0.0130499	13	0	1	11	1	1	0	19592	28	0	36.0054	 	0	1.49583e-11
UL	0.0130957	13	0	12	11	1	1	0	19592	28	0	35.9843 	0	5.77316e-15
DL	0.0131499	13	1	1	11	1	1	0	19592	28	0	36.3313	 	0	0
UL	0.0131957	13	1	12	11	1	1	0	19592	28	0	36.202 	0	0
DL	0.0132499	13	2	1	11	1	1	0	19592	28	0	36.6438	 	0	0
UL	0.0132957	13	2	12	11	1	1	0	19592	28	0	36.3237 	0	0
DL	0.0133499	13	3	1	11	1	1	0	19592	28	0	36.894	 	0	5.77316e-15
UL	0.0133957	13	3	12	11	1	1	0	19592	28	0	36.3277 	0	0
DL	0.0134499	13	4	1	11	1	1	0	19592	28	0	37.0511	 	0	0
UL	0.0134957	13	4	12	11	1	1	0	19592	28	0	36.2088 	0	3.4639e-14
DL	0.0135499	13	5	1	11	1	1	0	19592	28	0	37.1009	 	0	0
UL	0.0135957	13	5	12	11	1	1	0	19592	28	0	35.9778 	0	0
DL	0.0136499	13	6	1	11	1	1	0	19592	28	0	37.0442	 	0	0
UL	0.0136957	13	6	12	11	1	1	0	19592	28	0	35.6645 	0	2.88658e-15
DL	0.0137499	13	7	1	11	1	1	0	19592	28	0	36.8957	 	0	0
UL	0.0137957	13	7	12	11	1	1	0	19592	28	0	35.3202 	0	0
DL	0.0138499	13	8	1	11	1	1	0	19592	28	0	36.6847	 	0	0
UL	0.0138957	13	8	12	11	1	1	0	19592	28	0	35.0157 	0	0
DL	0.0139499	13	9	1	11	1	1	0	19592	28	0	36.4534	 	0	2.07834e-13
UL	0.0139957	13	9	12	11	1	1	0	19592	28	0	34.8275 	0	1.92535e-11
DL	0.0140499	14	0	1	11	1	1	0	19592	28	0	36.2524	 	0	2.30926e-14
UL	0.0140957	14	0	12	11	1	1	0	19592	28	0	34.8095 	0	3.05977e-13
DL	0.0141499	14	1	1	11	1	1	0	19592	28	0	36.1288	 	0	0
UL	0.0141957	14	1	12	11	1	1	0	19592	28	0	34.9657 	0	5.71543e-13
DL	0.0142499	14	2	1	11	1	1	0	19592	28	0	36.1102	 	0	0
UL	0.0142957	14	2	12	11	1	1	0	19592	28	0	35.2478 	0	0
DL	0.0143499	14	3	1	11	1	1	0	19592	28	0	36.193	 	0	0
UL	0.0143957	14	3	12	11	1	1	0	19592	28	0	35.5813 	0	2.88658e-14
DL	0.0144499	14	4	1	11	1	1	0	19592	28	0	36.3438	 	0	1.78968e-13
UL	0.0144957	14	4	12	11	1	1	0	19592	28	0	35.8945 	0	2.88658e-15
DL	0.0145499	14	5	1	11	1	1	0	19592	28	0	36.5132	 	0	0
UL	0.0145957	14	5	12	11	1	1	0	19592	28	0	36.135 	0	0
DL	0.0146499	14	6	1	11	1	1	0	19592	28	0	36.6521	 	0	6.5814e-13
UL	0.0146957	14	6	12	11	1	1	0	19592	28	0	36.2726 	0	0
DL	0.0147499	14	7	1	11	1	1	0	19592	28	0	36.7215	 	0	0
UL	0.0147957	14	7	12	11	1	1	0	19592	28	0	36.2969 	0	0
DL	0.0148499	14	8	1	11	1	1	0	19592	28	0	36.697	 	0	0
UL	0.0148957	14	8	12	11	1	1	0	19592	28	0	36.2155 	0	2.88658e-15
DL	0.0149499	14	9	1	11	1	1	0	19592	28	0	36.5699	 	0	0
UL	0.0149957	14	9	12	11	1	1	0	19592	28	0	36.0528 	0	5.77316e-15
DL	0.0150499	15	0	1	11	1	1	0	19592	28	0	36.3482	 	0	0
UL	0.0150957	15	0	12	11	1	1	0	19592	28	0	35.85 	0	0
DL	0.0151499	15	1	1	11	1	1	0	19592	28	0	36.0583	 	0	0
UL	0.0151957	15	1	12	11	1	1	0	19592	28	0	35.6621 	0	0
DL	0.0152499	15	2	1	11	1	1	0	19592	28	0	35.7465	 	0	0
UL	0.0152957	15	2	12	11	1	1	0	19592	28	0	35.5471 	0	4.86447e-07
DL	0.0153499	15	3	1	11	1	1	0	19592	28	0	35.4765	 	0	8.65974e-15
UL	0.0153957	15	3	12	11	1	1	0	19592	28	0	35.5481 	0	0
DL	0.0154499	15	4	1	11	1	1	0	19592	28	0	35.3158	 	0	0
UL	0.0154957	15	4	12	11	1	1	0	19592	28	0	35.6742 	0	2.88658e-15
DL	0.0155499	15	5	1	11	1	1	0	19592	28	0	35.3104	 	0	0
UL	0.0155957	15	5	12	11	1	1	0	19592	28	0	35.8967 	0	0
DL	0.0156499	15	6	1	11	1	1	0	19592	28	0	35.4624	 	0	0
UL	0.0156957	15	6	12	11	1	1	0	19592	28	0	36.162 	0	3.45408e-11
DL	0.0157499	15	7	1	11	1	1	0	19592	28	0	35.7285	 	0	1.38556e-13
UL	0.0157957	15	7	12	11	1	1	0	19592	28	0	36.4125 	0	0
DL	0.0158499	15	8	1	11	1	1	0	19592	28	0	36.0411	 	0	2.18267e-07
UL	0.0158957	15	8	12	11	1	1	0	19592	28	0	36.5999 	0	2.39586e-13
DL	0.0159499	15	9	1	11	1	1	0	19592	28	0	36.3341	 	0	0
UL	0.0159957	15	9	12	11	1	1	0	19592	28	0	36.6916 	0	0
DL	0.0160499	16	0	1	11	1	1	0	19592	28	0	36.5573	 	0	3.2907e-13
UL	0.0160957	16	0	12	11	1	1	0	19592	28	0	36.6712 	0	0
DL	0.0161499	16	1	1	11	1	1	0	19592	28	0	36.6795	 	0	0
UL	0.0161957	16	1	12	11	1	1	0	19592	28	0	36.5375 	0	0
DL	0.0162499	16	2	1	11	1	1	0	19592	28	0	36.6878	 	0	0
UL	0.0162957	16	2	12	11	1	1	0	19592	28	0	36.3054 	0	0
DL	0.0163499	16	3	1	11	1	1	0	19592	28	0	36.585	 	0	1.15463e-14
UL	0.0163957	16	3	12	11	1	1	0	19592	28	0	36.0081 	0	4.90719e-14
DL	0.0164499	16	4	1	11	1	1	0	19592	28	0	36.3895	 	0	0
UL	0.0164957	16	4	12	11	1	1	0	19592	28	0	35.698 	0	0
DL	0.0165499	16	5	1	11	1	1	0	19592	28	0	36.1355	 	0	0
UL	0.0165957	16	5	12	11	1	1	0	19592	28	0	35.4424 	0	0
DL	0.0166499	16	6	1	11	1	1	0	19592	28	0	35.8728	 	0	0
UL	0.0166957	16	6	12	11	1	1	0	19592	28	0	35.3074 	0	0
DL	0.0167499	16	7	1	11	1	1	0	19592	28	0	35.6596	 	0	0
UL	0.0167957	16	7	12	11	1	1	0	19592	28	0	35.3321 	0	0
DL	0.0168499	16	8	1	11	1	1	0	19592	28	0	35.5475	 	0	8.65974e-15
UL	0.0168957	16	8	12	11	1	1	0	19592	28	0	35.5089 	0	0
DL	0.0169499	16	9	1	11	1	1	0	19592	28	0	35.5615	 	0	7.68408e-11
UL	0.0169957	16	9	12	11	1	1	0	19592	28	0	35.7878 	0	0
DL	0.0170499	17	0	1	11	1	1	0	19592	28	0	35.6881	 	0	0
UL	0.0170957	17	0	12	11	1	1	0	19592	28	0	36.1009 	0	0
DL	0.0171499	17	1	1	11	1	1	0	19592	28	0	35.8815	 	0	0
UL	0.0171957	17	1	12	11	1	1	0	19592	28	0	36.3859 	0	0
DL	0.0172499	17	2	1	11	1	1	0	19592	28	0	36.0832	 	0	5.77316e-15
UL	0.0172957	17	2	12	11	1	1	0	19592	28	0	36.5988 	0	0
DL	0.0173499	17	3	1	11	1	1	0	19592	28	0	36.2393	 	0	4.37028e-12
UL	0.0173957	17	3	12	11	1	1	0	19592	28	0	36.7152 	0	0
DL	0.0174499	17	4	1	11	1	1	0	19592	28	0	36.3106	 	0	0
UL	0.0174957	17	4	12	11	1	1	0	19592	28	0	36.7292 	0	0
DL	0.0175499	17	5	1	11	1	1	0	19592	28	0	36.2744	 	0	0
UL	0.0175957	17	5	12	11	1	1	0	19592	28	0	36.6513 	0	0
DL	0.0176499	17	6	1	11	1	1	0	19592	28	0	36.1252	 	0	8.08242e-14
UL	0.0176957	17	6	12	11	1	1	0	19592	28	0	36.5077 	0	0
DL	0.0177499	17	7	1	11	1	1	0	19592	28	0	35.8754	 	0	0
UL	0.0177957	17	7	12	11	1	1	0	19592	28	0	36.3386 	0	0
DL	0.0178499	17	8	1	11	1	1	0	19592	28	0	35.5578	 	0	5.77316e-15
UL	0.0178957	17	8	12	11	1	1	0	19592	28	0	36.1939 	0	3.40616e-13
DL	0.0179499	17	9	1	11	1	1	0	19592	28	0	35.227	 	0	0
UL	0.0179957	17	9	12	11	1	1	0	19592	28	0	36.1221 	0	0
DL	0.0180499	18	0	1	11	1	1	0	19592	28	0	34.9563	 	0	0
UL	0.0180957	18	0	12	11	1	1	0	19592	28	0	36.1537 	0	0
DL	0.0181499	18	1	1	11	1	1	0	19592	28	0	34.8189	 	0	1.05493e-10
UL	0.0181957	18	1	12	11	1	1	0	19592	28	0	36.2887 	0	0
DL	0.0182499	18	2	1	11	1	1	0	19592	28	0	34.8581	 	0	0
UL	0.0182957	18	2	12	11	1	1	0	19592	28	0	36.4965 	0	4.04121e-14
DL	0.0183499	18	3	1	11	1	1	0	19592	28	0	35.0636	 	0	0
UL	0.0183957	18	3	12	11	1	1	0	19592	28	0	36.7288 	0	0
DL	0.0184499	18	4	1	11	1	1	0	19592	28	0	35.3773	 	0	0
UL	0.0184957	18	4	12	11	1	1	0	19592	28	0	36.9355 	0	0
DL	0.0185499	18	5	1	11	1	1	0	19592	28	0	35.7221	 	0	4.32987e-14
UL	0.0185957	18	5	12	11	1	1	0	19592	28	0	37.0756 	0	0
DL	0.0186499	18	6	1	11	1	1	0	19592	28	0	36.0291	 	0	0
UL	0.0186957	18	6	12	11	1	1	0	19592	28	0	37.1217 	0	0
DL	0.0187499	18	7	1	11	1	1	0	19592	28	0	36.2494	 	0	0
UL	0.0187957	18	7	12	11	1	1	0	19592	28	0	37.0604 	0	0
DL	0.0188499	18	8	1	11	1	1	0	19592	28	0	36.3556	 	0	0
UL	0.0188957	18	8	12	11	1	1	0	19592	28	0	36.8927 	0	5.77316e-15
DL	0.0189499	18	9	1	11	1	1	0	19592	28	0	36.3386	 	0	0
UL	0.0189957	18	9	12	11	1	1	0	19592	28	0	36.6344 	0	0
DL	0.0190499	19	0	1	11	1	1	0	19592	28	0	36.2055	 	0	0
UL	0.0190957	19	0	12	11	1	1	0	19592	28	0	36.3185 	0	1.44329e-14
DL	0.0191499	19	1	1	11	1	1	0	19592	28	0	35.98	 	0	0
UL	0.0191957	19	1	12	11	1	1	0	19592	28	0	35.9956 	0	1.50102e-13
DL	0.0192499	19	2	1	11	1	1	0	19592	28	0	35.7034	 	0	0
UL	0.0192957	19	2	12	11	1	1	0	19592	28	0	35.7292 	0	7.99871e-12
DL	0.0193499	19	3	1	11	1	1	0	19592	28	0	35.4336	 	0	0
UL	0.0193957	19	3	12	11	1	1	0	19592	28	0	35.5792 	0	0
DL	0.0194499	19	4	1	11	1	1	0	19592	28	0	35.236	 	0	2.88658e-15
UL	0.0194957	19	4	12	11	1	1	0	19592	28	0	35.5784 	0	2.10555e-05
DL	0.0195499	19	5	1	11	1	1	0	19592	28	0	35.1638	 	0	0
UL	0.0195957	19	5	12	11	1	1	0	19592	28	0	35.7167 	0	0
DL	0.0196499	19	6	1	11	1	1	0	19592	28	0	35.2351	 	0	1.15463e-14
UL	0.0196957	19	6	12	11	1	1	0	19592	28	0	35.9459 	0	9.23706e-14
DL	0.0197499	19	7	1	11	1	1	0	19592	28	0	35.4236	 	0	2.01362e-10
UL	0.0197957	19	7	12	11	1	1	0	19592	28	0	36.2019 	0	0
DL	0.0198499	19	8	1	11	1	1	0	19592	28	0	35.6724	 	0	0
UL	0.0198957	19	8	12	11	1	1	0	19592	28	0	36.4262 	0	0
DL	0.0199499	19	9	1	11	1	1	0	19592	28	0	35.9168	 	0	0
UL	0.0199957	19	9	12	11	1	1	0	19592	28	0	36.5772 	0	0
DL	0.0200499	20	0	1	11	1	1	0	19592	28	0	36.1034	 	0	0
UL	0.0200957	20	0	12	11	1	1	0	19592	28	0	36.6323 	0	0
DL	0.0201499	20	1	1	11	1	1	0	19592	28	0	36.1965	 	0	0
UL	0.0201957	20	1	12	11	1	1	0	19592	28	0	36.5867 	0	1.15463e-14
DL	0.0202499	20	2	1	11	1	1	0	19592	28	0	36.1793	 	0	0
UL	0.0202957	20	2	12	11	1	1	0	19592	28	0	36.4522 	0	2.30926e-14
DL	0.0203499	20	3	1	11	1	1	0	19592	28	0	36.0525	 	0	0
UL	0.0203957	20	3	12	11	1	1	0	19592	28	0	36.258 	0	0
DL	0.0204499	20	4	1	11	1	1	0	19592	28	0	35.836	 	0	0
UL	0.0204957	20	4	12	11	1	1	0	19592	28	0	36.0486 	0	0
DL	0.0205499	20	5	1	11	1	1	0	19592	28	0	35.5699	 	0	1.73195e-13
UL	0.0205957	20	5	12	11	1	1	0	19592	28	0	35.8787 	0	0
DL	0.0206499	20	6	1	11	1	1	0	19592	28	0	35.3142	 	0	2.52864e-12
UL	0.0206957	20	6	12	11	1	1	0	19592	28	0	35.799 	0	0
DL	0.0207499	20	7	1	11	1	1	0	19592	28	0	35.1401	 	0	0
UL	0.0207957	20	7	12	11	1	1	0	19592	28	0	35.8382 	0	0
DL	0.0208499	20	8	1	11	1	1	0	19592	28	0	35.1082	 	0	0
UL	0.0208957	20	8	12	11	1	1	0	19592	28	0	35.9896 	0	0
DL	0.0209499	20	9	1	11	1	1	0	19592	28	0	35.2416	 	0	0
UL	0.0209957	20	9	12	11	1	1	0	19592	28	0	36.2138 	0	3.4639e-14
DL	0.0210499	21	0	1	11	1	1	0	19592	28	0	35.5132	 	0	4.04121e-14
